publicationNumber,applicationDate,publicationDate,priorityCountryRegion,supplementaryPriorityCountryRegion,numberOfInventors,IPC,numberOfClaims,numberOfPagesOfDocuments,numberOfCitedPatents,numberOfPatentsCitedBy,numberOfNonPatentLiteratureCitations,patsnapFamilyPatentApplicationNumber,patSnapFamilyCitedPatentTotal,numberOfCitationsWithin3Years,numberOfCitationsWithin5Years,inpadocFamilyPatentApplicationNumber,simpleFamilyCitedPatentTotal,currentNumberOfApplicantsPatentees,simpleFamilyPatentApplicationNumber,legalStatusEvent,patentType
AU2010239363A1,2010/4/20,2011/11/10,US,US,1,E21B43/00 | E21B43/24 | E21B43/16 | E21B43/241,31,21,0,0,0,8,28,0,0,6,28,1,6,权利终止,发明申请
WO2010123886A3,2010/4/20,2010/10/28,US,US,1,E21B43/00,31,5,10,2,0,8,28,2,2,6,28,1,6,PCT进入指定国（指定期满）,发明申请
WO2010123886A2,2010/4/20,2010/10/28,US,US,1,E21B43/16 | E21B43/241 | E21B43/24,31,21,10,2,0,8,28,2,2,6,28,1,6,PCT进入指定国（指定期满）,发明申请
SG11202003120RA,2018/11/2,2020/5/28,US,US,3,B01D53/64 | B01J20/02 | B01J20/06,37,20,0,0,0,13,3,0,0,13,3,1,13,公开,发明申请
EP3093549A1,2015/5/11,2016/11/16,-,EP,4,F17C11/00,16,17,37,0,12,2,5,0,0,2,5,1,2,撤回-主动撤回,发明申请
AU1925025574A1,-,-,-,AU,-,C05G1/00,7,5,0,0,0,1,0,0,0,1,0,-,1,-,发明申请
WO2016180807A1,2016/5/10,2016/11/17,EP,EP,4,F17C11/00,16,29,35,5,6,2,5,4,4,2,5,1,2,PCT未进入指定国（指定期满）,发明申请
EP2521761B1,2010/12/16,2015/11/25,GB,GB,1,C10L3/08 | C10L3/10,14,18,6,2,0,16,74,2,2,16,74,1,16,权利终止,授权发明
AU2010340809B2,2010/12/16,2016/1/28,GB,GB,1,C10L3/10 | C10L3/08,14,25,2,0,0,16,74,0,0,16,74,1,16,权利终止,授权发明
EP3130835A1,2015/8/13,2017/2/15,-,EP,1,F17C11/00,15,17,33,4,13,1,4,2,2,1,4,1,1,驳回,发明申请
WO2016075100A1,2015/11/10,2016/5/19,US,US,8,F17C11/00,15,30,23,8,7,1,8,4,4,1,8,1,1,PCT未进入指定国（指定期满）,发明申请
WO2020019069A1,2019/7/23,2020/1/30,US,US,1,F16L58/00 | B29C33/00 | E02D3/10,14,21,2,1,0,2,1,1,1,2,1,1,2,PCT进入指定国（指定期满）,发明申请
CA3149283A1,2022/1/28,2023/7/28,-,CA,4,G01V9/00,16,-,0,0,0,1,0,0,0,1,0,4,1,实质审查,发明申请
WO2016135133A1,2016/2/23,2016/9/1,EP,EP,4,F17C11/00,15,28,34,10,6,1,10,8,8,1,10,1,1,PCT未进入指定国（指定期满）,发明申请
